,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,IARfor_Step1,IARfor_Step2,IARfor_Step3,IARfor_Step4,IARfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,DARfor_Step1,DARfor_Step2,DARfor_Step3,DARfor_Step4,DARfor_Step5,DARMfor_Step1,DARMfor_Step2,DARMfor_Step3,DARMfor_Step4,DARMfor_Step5,Realiz1,Realiz2,Realiz3,Realiz4,Realiz5
2018:04,2.610857339,2.783853289,2.799999541,2.505365299,2.347379662,2.556674425,2.378959303,2.005012371,2.01416176,1.951858465,3.500156422,4.059501373,2.317621377,2.555015139,2.987492445,2.556674425,2.528610624,2.03436342,2.005844233,1.929317228,#N/A,#N/A,#N/A,#N/A,#N/A,2.587826682,2.166865738,1.089154595,1.318299594,0.89594731
2019:01,1.455912802,2.379448359,2.502117031,2.409360417,2.396897615,2.173562521,2.181742174,2.177000634,1.987567999,2.001730374,2.587826682,3.500156422,4.059501373,2.317621377,2.555015139,2.173562521,2.332159538,2.402058462,2.000670118,1.957835903,#N/A,#N/A,#N/A,#N/A,#N/A,3.170455018,3.097607346,2.931673369,2.41238094,2.41238094
2019:02,1.913579883,2.358650589,2.680068947,2.713214635,2.591886722,2.43177116,2.013892382,2.032747076,2.093810106,1.979680372,3.170455018,2.587826682,3.500156422,4.059501373,2.317621377,2.43177116,2.065638292,2.27320288,2.08231177,1.968653643,#N/A,#N/A,#N/A,#N/A,#N/A,2.055031898,2.014267064,1.492159103,3.208902634,3.208902634
2019:03,1.776995231,2.11659545,2.224682308,2.358747447,2.61536746,1.973683977,2.142534727,1.952350605,1.973537608,2.059542381,2.055031898,3.170455018,2.587826682,3.500156422,4.059501373,1.973683977,2.244402032,2.050112506,2.021384758,2.026156505,#N/A,#N/A,#N/A,#N/A,#N/A,1.918827038,2.102391446,2.571137452,2.771936015,2.771936015
2019:04,1.651008758,2.000000349,2.196195811,2.225854331,2.213632751,1.895842228,1.942566329,2.029282335,1.928630512,1.950008235,1.918827038,2.055031898,3.170455018,2.587826682,3.500156422,1.895842228,1.964150027,2.180964458,1.960321148,1.966928926,#N/A,#N/A,#N/A,#N/A,#N/A,2.080776591,2.127523439,2.367441319,1.888420501,1.888420501
2020:01,1.660238006,1.897930344,1.947604457,1.973336996,2.075660684,1.936205893,1.887175634,1.930663038,1.98493763,1.91948806,2.080776591,1.918827038,2.055031898,3.170455018,2.587826682,1.936205893,1.893202879,1.945949559,1.995997337,1.934870497,#N/A,#N/A,#N/A,#N/A,#N/A,-4.783228533,-4.957532742,-5.112896632,#N/A,-5.112896632
2020:02,-32.22076774,2.104862716,1.735390197,1.976430533,1.72002261,-0.610796262,1.88295999,1.88390783,1.926109726,1.967574174,-4.783228533,2.080776591,1.918827038,2.055031898,3.170455018,-0.610796262,1.907265751,1.898174026,1.933698644,1.945232224,#N/A,#N/A,#N/A,#N/A,#N/A,-32.9038023,-31.38266291,-31.23589426,#N/A,-31.23589426
2020:03,19.09312136,10.6335184,2.023877952,1.66192132,1.957053053,-16.01082455,0.848756638,1.863349333,1.882675681,1.924367968,-32.9038023,-4.783228533,2.080776591,1.918827038,2.055031898,-16.01082455,0.2004267,1.895372408,1.901123559,1.933900101,#N/A,#N/A,#N/A,#N/A,#N/A,33.08262407,33.44104248,33.78418396,#N/A,33.78418396
2020:04,3.999999838,5.806626661,6.477541005,2.130076931,1.857970097,12.46963077,-7.444551561,1.359320867,1.856126659,1.882211089,33.08262407,-32.9038023,-4.783228533,2.080776591,1.918827038,12.46963077,-5.719892979,0.535696899,1.868822961,1.902127662,#N/A,#N/A,#N/A,#N/A,#N/A,4.012430338,4.325146903,4.536198458,#N/A,4.536198458
2021:01,3.199999511,3.204692314,5.234383137,6.757547896,2.185553131,2.271951949,5.348248316,-3.100673652,1.53792065,1.853466522,4.012430338,33.08262407,-32.9038023,-4.783228533,2.080776591,2.271951949,5.666880321,-3.961776279,2.000516164,1.86794748,#N/A,#N/A,#N/A,#N/A,#N/A,6.387704577,6.278682252,#N/A,#N/A,6.278682252
2021:02,7.891469126,5.03896433,3.467654086,3.837988339,4.090806517,2.808222927,1.728555567,2.887951195,-0.897933286,1.600396399,6.387704577,4.012430338,33.08262407,-32.9038023,-4.783228533,2.808222927,1.939319508,6.398690093,2.66460323,2.010913325,#N/A,#N/A,#N/A,#N/A,#N/A,6.502612738,6.725054602,#N/A,#N/A,6.725054602
2021:03,6.808343012,7.502009392,5.27535594,3.505256962,3.55606079,3.279731223,1.873356654,1.558901276,2.037967085,0.219056008,6.502612738,6.387704577,4.012430338,33.08262407,-32.9038023,3.279731223,2.389692138,1.970544284,0.250049872,4.083533249,#N/A,#N/A,#N/A,#N/A,#N/A,2.016276441,2.303784238,#N/A,#N/A,2.303784238
2021:04,4.61831111,5.168176612,4.959521054,4.044797917,3.340611022,1.467496206,2.207600464,1.629194221,1.505933351,1.744314347,2.016276441,6.502612738,6.387704577,4.012430338,33.08262407,1.467496206,1.747643824,1.662119741,1.398769335,-0.812149164,#N/A,#N/A,#N/A,#N/A,#N/A,6.888107242,6.894583493,#N/A,#N/A,6.894583493
2022:01,1.763293009,3.880093925,4.459415898,4.012359639,3.700918604,2.150133415,0.53749678,1.85094312,1.565425428,1.489396186,6.888107242,2.016276441,6.502612738,6.387704577,4.012430338,2.150133415,0.646887593,0.750564405,0.732840215,1.324047904,#N/A,#N/A,#N/A,#N/A,#N/A,-1.414207427,#N/A,#N/A,#N/A,-1.414207427
2022:02,2.342154889,4.160779042,4.001722918,3.39787702,2.625445242,-0.596711556,0.504003816,-0.357426512,1.732296714,1.5487707,-1.414207427,6.888107242,2.016276441,6.502612738,6.387704577,-0.596711556,0.845347136,0.01601836,0.18159491,1.032631143,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2022:03,#N/A,2.475871482,2.960081926,3.064825293,2.680651651,#N/A,0.807963209,1.681279065,0.852158631,1.692827543,#N/A,-1.414207427,6.888107242,2.016276441,6.502612738,#N/A,1.280808739,2.353896952,1.531043231,0.699111838,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2022:04,#N/A,#N/A,2.337266987,2.916059688,3.123768443,#N/A,#N/A,-1.211150158,-0.288835088,1.276797579,#N/A,#N/A,-1.414207427,6.888107242,2.016276441,#N/A,#N/A,-0.935949724,0.002221406,1.576681556,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2023:01,#N/A,#N/A,#N/A,2.100500172,2.843182933,#N/A,#N/A,#N/A,1.829309256,0.79325819,#N/A,#N/A,#N/A,-1.414207427,6.888107242,#N/A,#N/A,#N/A,2.689365785,0.932480618,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2023:02,#N/A,#N/A,#N/A,#N/A,2.282359255,#N/A,#N/A,#N/A,#N/A,2.175785544,#N/A,#N/A,#N/A,#N/A,-1.414207427,#N/A,#N/A,#N/A,#N/A,2.030880072,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
