,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,Realiz1
2007:03,2.500001718,2.600001367,3.000195199,2.944806148,2.970381807,3.382238985,1.260145824,3.473366565,1.582882278,2.457735866,3.895902294
2007:04,1.538180601,2.663353112,2.863853526,3.177206871,2.899534314,3.895902294,3.382238985,1.260145824,3.473366565,1.582882278,0.636220552
2008:01,0.673074549,2.18502735,2.679332271,2.913204874,3.062097244,0.636220552,3.895902294,3.382238985,1.260145824,3.473366565,0.597443745
2008:02,0.205122916,1.325508843,2.302346347,2.92047936,3.000967411,0.597443745,0.636220552,3.895902294,3.382238985,1.260145824,1.888551389
2008:03,1.153543927,1.699644239,2.759190157,2.689235378,2.667885132,1.888551389,0.597443745,0.636220552,3.895902294,3.382238985,-0.252161565
2008:04,-2.935429644,0.710998119,1.836997047,2.819257605,2.788065403,-0.252161565,1.888551389,0.597443745,0.636220552,3.895902294,-3.803667045
2009:01,-5.189226764,-1.096758884,1.574503373,2.271331355,3.122742497,-3.803667045,-0.252161565,1.888551389,0.597443745,0.636220552,-6.143679685
2009:02,-1.528323882,-1.750378304,0.837025365,2.11124998,2.522027752,-6.143679685,-3.803667045,-0.252161565,1.888551389,0.597443745,-1.017340613
2009:03,2.438707127,0.449165438,0.973387635,0.862650038,2.537312374,-1.017340613,-6.143679685,-3.803667045,-0.252161565,1.888551389,3.533854472
2009:04,2.699096059,2.173820544,1.726388928,1.773275546,2.273451017,3.533854472,-1.017340613,-6.143679685,-3.803667045,-0.252161565,5.730853335
2010:01,2.701526504,2.298855172,2.524946881,2.224862825,2.439257027,5.730853335,3.533854472,-1.017340613,-6.143679685,-3.803667045,3.238729831
2010:02,3.317440226,2.722058551,2.442917833,2.811679638,2.922844288,3.238729831,5.730853335,3.533854472,-1.017340613,-6.143679685,2.386579374
2010:03,2.328976304,3.290133776,2.721081435,2.558675303,2.578464894,2.386579374,3.238729831,5.730853335,3.533854472,-1.017340613,2.0096805
2010:04,2.244135439,2.830311035,2.83229289,2.721475605,2.933180097,2.0096805,2.386579374,3.238729831,5.730853335,3.533854472,3.172966411
2011:01,3.590229632,2.376314552,2.263452454,2.705054172,2.69014531,3.172966411,2.0096805,2.386579374,3.238729831,5.730853335,1.748174861
2011:02,3.244290713,3.507670451,2.69588585,3.105585885,3.2490277,1.748174861,3.172966411,2.0096805,2.386579374,3.238729831,1.282210213
