,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,IARfor_Step1,IARfor_Step2,IARfor_Step3,IARfor_Step4,IARfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,DARfor_Step1,DARfor_Step2,DARfor_Step3,DARfor_Step4,DARfor_Step5,DARMfor_Step1,DARMfor_Step2,DARMfor_Step3,DARMfor_Step4,DARMfor_Step5,Realiz1,Realiz2,Realiz3,Realiz4,Realiz5
1988:03,6.95,6.4,5.775,5.95,6.35,6.558153382,6.654817431,6.840657009,7.25112603,6.881045999,6.21,5.723333333,5.863333333,6.043333333,5.656666667,6.558153382,6.271834287,6.593876055,6.906462208,6.853519128,7.087857824,6.560823516,7.060719887,7.246538296,7.021425702,7.01,7.01,7.01,7.01,7.01
1988:04,7.5,7.2,6.6,5.925,5.9,7.247905116,6.744569952,6.846296499,7.061760606,7.516993686,7.01,6.21,5.723333333,5.863333333,6.043333333,7.247905116,6.613945822,6.452910867,7.001240149,7.091762288,7.605135258,7.131335028,6.631560384,7.222042192,7.080203719,7.726666667,7.726666667,7.726666667,7.726666667,7.726666667
1989:01,8.45,7.7,7.35,6.63,6.1,7.87050976,7.205225921,6.976569172,7.102721144,7.349708157,7.726666667,7.01,6.21,5.723333333,5.863333333,7.87050976,7.210533423,6.745251638,6.953104351,7.022152071,8.472664854,7.45584085,7.114700417,6.932064342,7.560459209,8.54,8.54,8.54,8.54,8.54
1989:02,8.52,8.75,7.65,7.4,6.63,8.7210947,7.890295643,7.371525844,7.130837277,7.285994961,8.54,7.726666667,7.01,6.21,5.723333333,8.7210947,7.787437259,7.270018229,7.101186173,6.93672505,8.463983987,8.413276948,7.437269947,7.193381303,7.281242488,8.41,8.41,8.41,8.41,8.41
1989:03,7.9,8.5,8.8,7.6,7.34,8.369163197,8.73683596,8.242013348,7.641764304,7.388297761,8.41,8.54,7.726666667,7.01,6.21,8.369163197,8.459756014,7.802063124,7.681205383,7.141609535,7.721264064,8.319881731,8.815814451,7.780135506,7.599312218,7.843333333,7.843333333,7.843333333,7.843333333,7.843333333
1989:04,7.62,7.9,8.25,8.4,7.625,8.27286146,8.959875383,9.122305672,8.589934197,7.895382989,7.843333333,8.41,8.54,7.726666667,7.01,8.27286146,8.359048813,8.418214754,8.431514183,7.501112603,7.548721776,7.650879298,9.401150709,9.052724244,8.144268967,7.653333333,7.653333333,7.653333333,7.653333333,7.653333333
1990:01,7.715,7.3,7.7,8,8,7.97145684,8.738631342,9.185946834,9.343219939,8.749157433,7.653333333,7.843333333,8.41,8.54,7.726666667,7.97145684,7.896119475,8.342687515,9.110956418,7.878435969,7.728151404,7.574264247,8.070259161,9.483607513,9.169548743,7.76,7.76,7.76,7.76,7.76
1990:02,7.8,7.7,7.2,7.5,7.65,8.020947607,8.287057065,8.694276467,9.184787001,9.371999522,7.76,7.653333333,7.843333333,8.41,8.54,8.020947607,7.748610201,7.921801311,8.719271529,8.340044699,7.649497995,7.7371208,7.335486381,8.007120433,9.402025632,7.746666667,7.746666667,7.746666667,7.746666667,7.746666667
1990:03,7.51,7.74,7.66,7.325,7.4,7.731708322,8.075593169,8.218632243,8.63638632,9.190837083,7.746666667,7.76,7.653333333,7.843333333,8.41,7.731708322,7.870170322,7.777689248,8.18761697,8.270836977,7.565425131,7.670476719,7.314108743,7.085601446,7.746779841,7.476666667,7.476666667,7.476666667,7.476666667,7.476666667
1990:04,7.1,7.3,7.645,7.665,7.5,7.354815205,7.680023606,7.880288779,8.00691995,8.502669981,7.476666667,7.746666667,7.76,7.653333333,7.843333333,7.354815205,7.896352715,7.885650832,7.633266619,7.951807587,7.06999653,7.598863658,7.264139472,6.955410134,6.725421511,6.99,6.99,6.99,6.99,6.99
1991:01,6.04,6.8,7,7.63,7.8,7.002942681,7.451094683,7.654554864,7.870638273,7.9924729,6.99,7.476666667,7.746666667,7.76,7.653333333,7.002942681,7.677920514,7.919129986,7.626703499,7.862671881,5.890210216,7.140449448,7.592511228,7.29494098,6.986510228,6.023333333,6.023333333,6.023333333,6.023333333,6.023333333
1991:02,5.59,5.8,6.6,6.75,7.625,6.068168301,7.319677893,7.561621052,7.792936474,8.031313978,6.023333333,6.99,7.476666667,7.746666667,7.76,6.068168301,7.291443461,7.739403013,7.943891186,7.954530539,5.421128165,5.775494002,7.582206127,7.853015369,7.458377697,5.56,5.56,5.56,5.56,5.56
1991:03,5.49,5.5,5.75,6.62,6.55,5.963933014,6.618748711,7.387644635,7.637977163,7.899958919,5.56,6.023333333,6.99,7.476666667,7.746666667,5.963933014,6.552291413,7.389138212,7.79197195,7.978942107,5.729283494,5.773855484,6.052846539,7.728689363,7.905144311,5.376666667,5.376666667,5.376666667,5.376666667,5.376666667
1991:04,4.8,5.5,5.72,6.02,6.765,5.389206736,6.151201239,6.560259792,7.391745931,7.666580638,5.376666667,5.56,6.023333333,6.99,7.476666667,5.389206736,6.186666079,6.696025153,7.370829317,7.846551353,5.012432472,6.080426155,5.713676871,5.904610112,7.640922765,4.54,4.54,4.54,4.54,4.54
1992:01,3.85,4.7,5.7,5.97,6.1685,4.522539431,5.60384967,6.091052176,6.532172657,7.449531707,4.54,5.376666667,5.56,6.023333333,6.99,4.522539431,6.028878796,6.368502538,6.506980808,7.602110035,3.809171802,5.177432152,5.912438354,5.391620271,5.592125638,3.893333333,3.893333333,3.893333333,3.893333333,3.893333333
1992:02,3.75,3.9,4.9,5.91,6.15,4.151471052,4.974698023,5.64325526,6.17090386,6.653298346,3.893333333,4.54,5.376666667,5.56,6.023333333,4.151471052,5.366278189,6.231342856,6.219595822,7.088293675,3.547628573,4.059782244,5.263670324,6.108836946,5.336555675,3.68,3.68,3.68,3.68,3.68
1992:03,3.18,3.83,4,5.09,6,3.86045364,4.48958409,5.027290927,5.74941131,6.326719445,3.68,3.893333333,4.54,5.376666667,5.56,3.86045364,4.823546081,5.616878595,6.484128544,6.840924468,3.041473585,3.853737527,4.015297822,5.540657962,6.259724159,3.083333333,3.083333333,3.083333333,3.083333333,3.083333333
1992:04,3,3.2,4.1,4.25,5.2,3.248972726,4.321621239,4.750767212,5.34231644,6.111154564,3.083333333,3.68,3.893333333,4.54,5.376666667,3.248972726,4.594413855,5.117245071,5.957867411,6.745573621,3.09747899,3.177772921,4.614686938,4.247567092,5.859312085,3.07,3.07,3.07,3.07,3.07
1993:01,3,3,3.4,4.355,4.5,3.543901475,3.794418426,4.585794754,5.062431354,5.709615626,3.07,3.083333333,3.68,3.893333333,4.54,3.543901475,3.99382071,4.902995438,5.51733131,6.305938757,3.078458276,3.344712891,3.769707664,4.882235052,4.260691128,2.96,2.96,2.96,2.96,2.96
1993:02,2.98,3.035,3.2,3.6,4.6,2.895219482,3.708149592,3.89898083,4.80257843,5.331311056,2.96,3.07,3.083333333,3.68,3.893333333,2.895219482,3.842322598,4.323509343,5.324884497,5.952245074,3.129755585,3.074639524,3.034565806,4.141069658,4.875145266,2.966666667,2.966666667,2.966666667,2.966666667,2.966666667
1993:03,3.02,3.08,3.245,3.3,3.83,3.54296489,3.436084479,4.053045375,4.274835231,5.296507631,2.966666667,2.96,3.07,3.083333333,3.68,3.54296489,3.656747495,4.143330939,4.814114956,5.78838445,3.355967055,3.295384473,3.581137354,3.074699655,4.522791997,3.003333333,3.003333333,3.003333333,3.003333333,3.003333333
1993:04,3.08,3.095,3.2,3.495,3.5,3.152769067,3.922534202,3.829095236,4.54734231,4.800816417,3.003333333,2.966666667,2.96,3.07,3.083333333,3.152769067,3.599305198,3.886330603,4.618204759,5.343931968,3.412008057,3.496931144,3.768529308,4.150406368,3.504813346,3.06,3.06,3.06,3.06,3.06
1994:01,3.2,3.1,3.25,3.35,3.65,3.462466255,3.6249609,4.244535453,4.130496476,4.952827742,3.06,3.003333333,2.966666667,2.96,3.07,3.462466255,3.562857488,3.786186851,4.339678304,5.169720883,3.176056639,3.987270516,3.694793071,4.00510156,4.327138917,3.243333333,3.243333333,3.243333333,3.243333333,3.243333333
1994:02,3.95,3.4,3.2,3.3,3.475,3.578597956,3.904662625,4.082127481,4.818564846,4.682522941,3.243333333,3.06,3.003333333,2.966666667,2.96,3.578597956,3.517828335,3.71516731,4.160206985,4.890847363,4.070157843,3.337473959,4.159817621,4.072408946,4.598969021,3.986666667,3.986666667,3.986666667,3.986666667,3.986666667
1994:03,4.45,4.2,3.55,3.4,3.5,4.48331394,3.929913392,4.215340904,4.440701894,5.299243866,3.986666667,3.243333333,3.06,3.003333333,2.966666667,4.48331394,3.617230016,3.649460125,4.030327613,4.680156781,4.843586094,4.183279892,3.364035218,4.365104217,4.491804824,4.476666667,4.476666667,4.476666667,4.476666667,4.476666667
1994:04,5.2,4.7,4.36,3.69,3.55,4.631416643,4.657440965,4.253959941,4.601925157,4.879727037,4.476666667,3.986666667,3.243333333,3.06,3.003333333,4.631416643,4.11588274,3.713211682,3.915250193,4.46505757,5.407393559,4.891147056,4.333940373,3.656794116,4.628278735,5.28,5.28,5.28,5.28,5.28
1995:01,5.9,5.725,4.76,4.5,3.7,5.795227614,5.005815393,5.053771427,4.585674742,4.999063616,5.28,4.476666667,3.986666667,3.243333333,3.06,5.795227614,4.742474677,4.336746838,3.921973276,4.276484537,6.002801124,5.895873444,4.618107838,4.460937782,3.841946405,5.736666667,5.736666667,5.736666667,5.736666667,5.736666667
1995:02,5.75,6.255,6.01,4.8,4.55,5.701081616,5.825966907,5.396739009,5.462680556,4.928768628,5.736666667,5.28,4.476666667,3.986666667,3.243333333,5.701081616,5.439294447,4.744730226,4.594434306,4.46512584,5.589376148,5.949286959,5.840754667,4.800920548,4.919891772,5.596666667,5.596666667,5.596666667,5.596666667,5.596666667
1995:03,5.475,5.8,6.34,6,4.8,6.006055483,6.036867093,6.200607275,5.767031783,5.849629986,5.596666667,5.736666667,5.28,4.476666667,3.986666667,6.006055483,5.810603778,5.4448106,4.820786012,5.034860313,5.411493577,5.833319844,6.45931355,5.939062853,5.119672775,5.366666667,5.366666667,5.366666667,5.366666667,5.366666667
1995:04,5.35,5.5,5.905,6.225,5.95,5.510414129,6.50587244,6.379489856,6.596118516,6.164554464,5.366666667,5.596666667,5.736666667,5.28,4.476666667,5.510414129,5.701572632,5.80590747,5.468741354,4.966053604,5.312429522,5.489503558,5.988131592,6.956696084,6.350139897,5.26,5.26,5.26,5.26,5.26
1996:01,4.935,5.2,5.5,5.95,6.01,5.275599699,5.642014316,6.723439691,6.503715475,6.771958953,5.26,5.366666667,5.596666667,5.736666667,5.28,5.275599699,5.484557732,5.709367224,5.830529344,5.520038158,5.062903564,5.438645428,5.034206547,6.061817892,7.077129538,4.93,4.93,4.93,4.93,4.93
