,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,IARfor_Step1,IARfor_Step2,IARfor_Step3,IARfor_Step4,IARfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,DARfor_Step1,DARfor_Step2,DARfor_Step3,DARfor_Step4,DARfor_Step5,DARMfor_Step1,DARMfor_Step2,DARMfor_Step3,DARMfor_Step4,DARMfor_Step5,Realiz1,Realiz2,Realiz3,Realiz4,Realiz5
1983:03,9.5,9.9,10.1,9.8,9,9.799791674,9.685632602,11.25313257,9.800238448,9.591101908,10.1,10.36666667,10.66666667,9.9,9.466666667,9.799791674,9.864958348,10.9533216,9.578123504,9.072392573,9.406143345,9.918666049,10.18821626,10.26684814,9.285961172,9.433333333,9.4,9.333333333,9.366666667,9.366666667
1983:04,8.9,9.2,9.7,10,9.6,8.870139053,9.492783467,9.352126366,11.19221826,9.611516731,9.433333333,10.1,10.36666667,10.66666667,9.9,8.870139053,9.523850214,9.659138547,10.61232252,9.294427466,8.671622881,9.002073626,9.807383739,9.879650201,9.769338379,8.466666667,8.466666667,8.466666667,8.5,8.533333333
1984:01,8,8.65,9,9.5,9.8,7.714441116,8.404586542,9.195900168,9.040651706,11.0739697,8.466666667,9.433333333,10.1,10.36666667,10.66666667,7.714441116,8.510959324,9.420383226,9.492003565,10.20653931,7.867312564,8.205163461,8.758577641,9.615980658,9.400445282,7.866666667,7.866666667,7.866666667,7.866666667,7.866666667
1984:02,7.7,7.9,8.5,8.95,9.3,7.39858646,7.137308658,8.027482798,8.919179121,8.757226115,7.866666667,8.466666667,9.433333333,10.1,10.36666667,7.39858646,7.274115719,8.277140821,9.308186486,9.334710415,7.804324066,7.520693154,7.951300036,8.634181302,9.455011432,7.466666667,7.466666667,7.5,7.5,7.433333333
1984:03,7.3,7.5,7.7,8.3,8.7,7.16432522,7.050953781,6.719354728,7.728001659,8.667911389,7.466666667,7.866666667,8.466666667,9.433333333,10.1,7.16432522,7.065432954,7.064661354,8.291586595,9.197502485,7.408176961,7.728814815,7.234500434,7.857111923,8.503874247,7.466666667,7.466666667,7.433333333,7.4,7.433333333
1984:04,7.4,7,7.4,7.6,8.1,7.438241494,6.948736374,6.807869843,6.438930927,7.494879957,7.466666667,7.466666667,7.866666667,8.466666667,9.433333333,7.438241494,6.967146883,6.892898248,7.132182762,8.303258364,7.367047492,7.307800895,7.567831836,7.168575385,7.932195669,7.2,7.2,7.233333333,7.266666667,7.3
1985:01,7.2,7.3,6.9,7.3,7.5,7.019833853,7.393265131,6.806424523,6.65154414,6.271904282,7.2,7.466666667,7.466666667,7.866666667,8.466666667,7.019833853,7.386638542,6.815914529,6.937825802,7.27520111,7.439628584,7.262262769,7.118821015,7.452332945,7.179527023,7.333333333,7.333333333,7.333333333,7.3,7.233333333
1985:02,7.2,7.05,7.2,6.8,7.3,7.401256409,6.909895921,7.340728832,6.72316323,6.564125683,7.333333333,7.2,7.466666667,7.466666667,7.866666667,7.401256409,6.921161596,7.324418513,6.823790131,7.052678278,7.320707841,7.572898609,7.194521871,7.277605175,7.472921218,7.3,7.3,7.3,7.266666667,7.3
1985:03,7.3,7.2,7,7.2,6.8,7.263122463,7.422712451,6.853984458,7.287077544,6.685242116,7.3,7.333333333,7.2,7.466666667,7.466666667,7.263122463,7.416365696,6.863854188,7.262875618,6.905904986,7.297891333,7.27214679,7.539930578,7.190866067,7.498568517,7.133333333,7.166666667,7.166666667,7.2,7.2
1985:04,7.1,7.3,7.2,6.9,7.2,7.022668616,7.226750185,7.413148582,6.837276368,7.236616477,7.133333333,7.3,7.333333333,7.2,7.466666667,7.022668616,7.231872921,7.402352111,6.859164172,7.236531495,7.132760399,7.287116736,7.217928719,7.45217344,7.190564158,7,7,7.033333333,7.033333333,7.033333333
1986:01,6.85,7.1,7.3,7.05,6.8,6.895141481,6.956523915,7.193407213,7.384650764,6.847051513,7,7.133333333,7.3,7.333333333,7.2,6.895141481,6.964507603,7.199851161,7.359404725,6.869335749,6.652651801,7.133926865,7.272060925,7.152912726,7.363450167,7.066666667,7.066666667,7.066666667,7,7.033333333
1986:02,7,6.8,7.1,7.2,7,7.116684757,6.837419464,6.924075255,7.164464582,7.346278863,7.066666667,7,7.133333333,7.3,7.333333333,7.116684757,6.852064961,6.945099268,7.183803784,7.311438346,7.092473456,6.495668662,7.087384406,7.241617826,7.144446255,7.166666667,7.166666667,7.133333333,7.133333333,7.166666667
1986:03,7,6.9,6.7,7.1,7.2,7.23499434,7.151779358,6.814016003,6.915761677,7.140461787,7.166666667,7.066666667,7,7.133333333,7.3,7.23499434,7.13342229,6.847884664,6.960781047,7.166831809,6.842063375,7.087633898,6.453089163,6.987429966,7.223877758,6.9,6.933333333,6.966666667,6.966666667,6.966666667
1986:04,6.9,7,6.8,6.7,7.1,6.740562555,7.276823985,7.174259808,6.814235156,6.923575217,6.9,7.166666667,7.066666667,7,7.133333333,6.740562555,7.268070545,7.147392591,6.882161768,6.991455381,7.091156076,6.665661704,7.204047632,6.468994777,6.950306292,6.833333333,6.833333333,6.833333333,6.866666667,6.833333333
